,portfolio_value
2022-06-27,2785010.944601167
2022-06-28,2776662.4021785725
2022-06-29,2767518.490365844
2022-06-30,2643600.148043325
2022-07-01,2643500.243176617
2022-07-04,2648685.7791352975
2022-07-05,2650973.274175289
2022-07-06,2655288.9572649035
2022-07-07,2636142.3353701015
2022-07-08,2529029.3447985486
2022-07-11,2528971.6416634684
2022-07-12,2563547.4361626706
2022-07-13,2549557.1548067722
2022-07-14,2888129.1638933993
2022-07-15,2888043.745622578
2022-07-18,2919494.0392884295
2022-07-19,2918305.69040578
2022-07-20,2912746.747520736
2022-07-21,2909803.798133979
2022-07-22,2766551.6735028415
2022-07-25,2766551.6735028415
2022-07-26,2766551.6735028415
2022-07-27,2766551.6735028415
2022-07-28,2766504.368148818
2022-07-29,2767179.168421229
2022-08-01,2770689.8768809135
2022-08-02,3021808.942527971
2022-08-03,3021808.942527971
2022-08-04,3021808.942527971
2022-08-05,3021808.942527971
2022-08-08,3021808.942527971
2022-08-10,3021808.942527971
2022-08-11,3021808.942527971
2022-08-12,3021808.942527971
2022-08-16,3021808.942527971
2022-08-17,3021808.942527971
2022-08-18,3021808.942527971
2022-08-19,3021808.942527971
2022-08-22,3021808.942527971
2022-08-23,3021808.942527971
2022-08-24,3021808.942527971
2022-08-25,3021744.7957196888
2022-08-26,3020979.7664493048
2022-08-29,3024880.361840171
2022-08-30,3019506.4935524403
2022-09-01,3409917.3547185156
2022-09-02,3722444.8949312638
2022-09-05,3722444.8949312638
2022-09-06,3722444.8949312638
2022-09-07,3722346.1499870843
2022-09-08,3714479.3633926567
2022-09-09,3733947.8337822105
2022-09-12,3723540.8563981354
2022-09-13,3735506.5896992963
2022-09-14,3577640.7506415322
2022-09-15,3577586.544862435
2022-09-16,3576941.25020822
2022-09-19,3573159.2625861624
2022-09-20,3575180.5175800864
2022-09-21,3594958.798374066
2022-09-22,3793584.8267645794
2022-09-23,3830963.9744176576
2022-09-26,3692479.387409352
2022-09-27,3692419.4975142293
2022-09-28,3930146.8034865255
2022-09-29,3930146.8034865255
2022-09-30,3930093.8223287286
2022-10-03,3955827.6779843597
2022-10-04,3942739.952508415
2022-10-06,3938427.1206260826
2022-10-07,4223071.224968955
2022-10-10,4225357.3556088125
2022-10-11,4247257.00513238
2022-10-12,4531279.742252317
2022-10-13,4531279.742252317
2022-10-14,4531279.742252317
2022-10-17,4531167.866921858
2022-10-18,4552465.698021065
2022-10-19,4576473.135992243
2022-10-20,4549723.3073684685
2022-10-21,4410140.967406369
2022-10-24,4410042.992155977
2022-10-25,4418965.904377377
2022-10-27,4431181.106820576
2022-10-28,4429523.539920668
2022-10-31,4282213.42019924
2022-11-01,4274190.183435217
2022-11-02,4305434.783104614
2022-11-03,4318585.017106103
2022-11-04,4308840.999453059
2022-11-07,4179018.6322270357
2022-11-09,4179018.6322270357
2022-11-10,4179018.6322270357
2022-11-11,4179018.6322270357
2022-11-14,4179018.6322270357
2022-11-15,4179018.6322270357
2022-11-16,4179018.6322270357
2022-11-17,4179018.6322270357
2022-11-18,4179018.6322270357
2022-11-21,4179018.6322270357
2022-11-22,4178919.6283419817
2022-11-23,4180899.7889358657
2022-11-24,4212508.244034231
2022-11-25,4058489.528756891
2022-11-28,4058489.528756891
2022-11-29,4058489.528756891
2022-11-30,4058489.528756891
2022-12-01,4058489.528756891
2022-12-02,4058489.528756891
2022-12-05,4058489.528756891
2022-12-06,4058489.528756891
2022-12-07,4058489.528756891
2022-12-08,4058369.4114320395
2022-12-09,4086402.709026383
2022-12-12,4078573.242628828
2022-12-13,4096658.677941853
